Image ID,Image name,Location,Drop,Depth,Latitude,Longitude,Site,Goniocorella Dumosa,Amorphous cream Sponge,Amorphous grey-blue sponge,Amorphous Pink/Orange Sponge,Anemone,Axinella australiensis,Axinella sp,Black Coral_1,Black Coral_2,Black Hydroid,Black Spiky Sponge,Bright-Orange Encrusting Colonial Ascidian,Bright-Orange Encrusting sponge,Brown Ball Sponge,Brown/Grey Encrusting sponge,Brown Orange Encrusting Sponge,Brown Solitary Ascidian,Corynactis australis,Creamy branching Hydroid,Creamy Gorgonacea,Cymbastella sp.,Dark Brown encrusting Sponge,Dark orange bulb sponge,Dark Orange Encrusting Sponge,Dark-Purple Encrusting Sponge,Dark red branching sponge,Dark Red Encrusting Sponge,Dark-Yellow Encrusting Sponge,Dendrilla sp.,Desmacidon mamillatum,Didemnum sp,Dysidea sp,Ecionemia alata,Encrusting Pink/Creamy sponge,Encrusting White Colonial Bryozoan,Erect Brown Branching Bryozoan,Erect bushy green-white bryozoan,Feather-like Hydroid,Fine branching hydroid,Flat creamy sponge,Geodia regina,Grey Amorphous Sponge,Grey Encrusting Colonial Ascidian,Grey flask-like sponge,Haliclona sp.,Homaxinella erecta,Hornera sp,Iophon,Iophon laevistylis,Large Orange Encrusting Sponge,Large white branching sponge,Latrunculia sp.,Light-Brown Encrusting Sponge,Light Yellow Encrusting Sponge,Lilac-Blue Spiky Sponge,Lissoclinum sp,Massive yellow sponge,Monomyces sp.,Orange Encrusting Bryozoan,Orange Encrusting Colonial Ascidian,Orange Massive/Encrusting Sponge,Orange Octocoral,Orange Spiked Sponge,Orange thin-branching sponge,Orange tube sponge,Orange/White Amorphpus Sponge,Orange/white Octocoral,Orange/Yellow amorphous sponge,Orange/Yellow Encrusting Sponge,Pale-Orange Amorphous Sponge,Pale Orange Encrusting Sponge,Pale Orange Spiky Encrusting Sponge,Pale yellow Amorphous/Encrusting Sponge,Pale Yellow Branching Amorphous Sponge,Pale Yellow Branching Sponge,Pale-Yellow Encrusting Sponge,Pale Yellow Globular Sponge,Pale Yellow Octocoral,Pale Yellow-Orange Amorphous Sponge,Pararhaphoxya sp.,Parazoanthus elongatus,Pink/Orange Branching Bryozoan,Polymastia sp.,Primnoa sp.,Psammocinia perforodorsa,Purple Encrusting Ascidian,Purple/Red encrusting Sponge,Purple/Violet Arborescent Amorphous Sponge,Purple/White flat massive sponge,Raspailia sp.,Red-Orange Spiky Arborescent Sponge,Red solitary Ascidian,Rowella lancifera,Rowella tubulosa,Short Orange Branching Sponge,Short white Hydroid,Steginoporella neozelanica,Stelletta conulosa,Stelletta crater,Stelletta maori,Suberites sp.,Symplectella rowi,Thin Encrusting Orange Sponge,Thin Orange Encrusting Colonial Ascidian,Thin Pink/Orange Encrusting Sponge,Thin Yellow Encrusting Sponge,White Amorphous Sponge,White and black hydroid,White Colonial Ascidian,White Encrusting Colonial Ascidian,White flattened sponge,White Globular/Loaf Sponge,White-pinkish ascidian,White Short Amorphous/Branching Sponge,White small amorphous sponge,White Spiky Encrusting Sponge,White Stylasterid,White-Yellow Amorphous Sponge,Xestospongia sp.,Yellow Arborescent Sponge,Yellow Branching Bryozoan,Yellow Encrusting Spiky Sponge,Yellow Encrusting Sponge,Yellow Globular Sponge,Yellow/Green Encrusting Sponge,Yellow Lobed Encrusting Sponge,Yellow-Orange Colonial Ascidian,Yellow/Orange Encrusting Sponge,crella incrustans,Sediment,Bare Rock,Biological Matrix,Other,CCA (crustose coralline algae),Ecklonia radiata,Green algae .,Green/Brown Algae,Red algae .
5481573,DB1_SHGCNCT_S001_S001_T001_0088.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,6.667,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,69.167,0,9.167,8.333,0,0,0,0,0
5481574,DB1_SHGCNCT_S001_S001_T001_0209.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,6.667,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,34.167,0,40,10.833,0,0,0,0,0
5481575,DB1_SHGCNCT_S001_S001_T001_0225.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,1.667,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,1.667,0,0,0,0.833,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.833,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0.833,5,0,0,0,25,0,44.167,5.833,0,0,0,0,0
5481576,DB1_SHGCNCT_S001_S001_T001_0251.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.833,0,22.5,1.667,0,0,0,0,0
5481577,DB1_SHGCNCT_S001_S001_T001_0339.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,4.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0.833,2.5,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0,0,47.5,0,30,9.167,0,0,0,0,0
5481578,DB1_SHGCNCT_S001_S001_T001_0400.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.833,0,35.833,4.167,0,0,0,0,0
5481579,DB1_SHGCNCT_S001_S001_T001_0409.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,2.5,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.333,0,24.167,0,0,0,0,0,0
5481580,DB1_SHGCNCT_S001_S001_T001_0440.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.167,0,27.5,4.167,0,0,0,0,0
5481581,DB1_SHGCNCT_S001_S001_T001_0474.jpg,Doubtless bay,DB1,72,-34.833133,173.474167,East Karikari Peninsula,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,1.667,0,12.5,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,46.667,0,24.167,6.667,0,0,0,0,0
5367814,SHGCNCT_S001_S001_T001_00015.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,75.833,0,19.167,0,0,0,0,0,0
5367815,SHGCNCT_S001_S001_T001_00159.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.5,0,18.333,0,0,0,0,0,0
5367816,SHGCNCT_S001_S001_T001_00233.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0.833,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0.833,0,0,3.333,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,80.833,0,6.667,2.5,1.667,0,0,0,0
5367817,SHGCNCT_S001_S001_T001_00287.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0.833,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,76.667,0,11.667,7.5,0,0,0,0,0
5367818,SHGCNCT_S001_S001_T001_00434.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,1.667,0,0,0,0.833,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.5,0,30.833,2.5,0,0,0,0,0
5367819,SHGCNCT_S001_S001_T001_00493.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,1.667,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0,0,0.833,0,0,0,0,0,0,20.833,0,45.833,5,0,0,0,0,0
5367820,SHGCNCT_S001_S001_T001_00550.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,1.667,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,33.333,0,40.833,1.667,0,0,0,0,0
5367821,SHGCNCT_S001_S001_T001_00610.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0,0,0.833,0,0.833,0,0,0,0.833,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,60,0,27.5,5,0,0,0,0,0
5367822,SHGCNCT_S001_S001_T001_00736.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,49.167,0,28.333,0.833,0,0,0,0,0
5367823,SHGCNCT_S001_S001_T001_00808.jpg,Doubtless bay,DB10,65,-34.873656,173.521717,North-East Doubtless Bay,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.333,0,0.833,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.667,0,38.333,10,0,0,0,0,0.833
5367824,SHGCNCT_S001_S001_T004_00032.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,15.833,2.5,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,1.667,0,0,0,0,0,0,0,0,0,12.5,0,40,4.167,0,0,0,0,0
5367825,SHGCNCT_S001_S001_T004_00071.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0.833,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,8.333,0.833,0,0,0,0,0,0,0,0,0,0,0,4.167,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0.833,2.5,0,0,0,0,0,0,0,0,0,23.333,0,46.667,5,0,0,0,0,0
5367826,SHGCNCT_S001_S001_T004_00080.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0.833,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,11.667,8.333,0,0,0,0,0,0,0,0.833,0,0,0,5.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.167,0,43.333,0.833,0,0,0,0,0
5367827,SHGCNCT_S001_S001_T004_00116.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,2.5,0,0,0,0,0,0.833,0,0,0,0,0,0,0.833,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,6.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.833,0,38.333,1.667,0,0,0,0,0
5367828,SHGCNCT_S001_S001_T004_00138.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,1.667,0,0,0,1.667,0,0,0,0,2.5,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,3.333,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.667,0,45.833,3.333,0,0,0,0,0
5367829,SHGCNCT_S001_S001_T004_00162.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0.833,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,3.333,5,0,0,0,0,0.833,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,5.833,0,0,0,10,0,0,0,0,0,0,0.833,0,0,0,0,0,5.833,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.667,0,31.667,6.667,0,0,0,0,0
5367830,SHGCNCT_S001_S001_T004_00175.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0.833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,5,0,0,0,0,0,5,0,0,1.667,0,0,0,7.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,40,0,34.167,0,0,0,0,0,0
5367831,SHGCNCT_S001_S001_T004_00195.jpg,Doubtless bay,DB11,52,-34.906292,173.559444,North Takerau Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.833,0,0,0,0,0,0,0,0,0,0,0,0,1.667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.833,0,0,0,0,0,0,0,0,0,0,47.5,0,40,0,0,0,0,0,0
